method,w_obstacle,w_path_length,hemisphere,start_x,start_y,start_z,end_x,end_y,end_z,obstacle_distance,path_length,weighted_objective
COBYLA,0.95,0.05,right,93.0,117.75,149.75,108.0,129.75,86.75,7.648529270389178,65.86349520030045,-0.8768992817157146
COBYLA,0.9,0.1,right,93.0,117.75,149.75,108.0,129.75,86.75,7.648529270389178,65.86349520030045,-0.797732405
COBYLA,0.85,0.15,right,93.0,117.75,149.75,108.0,129.75,86.75,7.648529270389178,65.86349520030045,-0.7185655275498495
COBYLA,0.8,0.2,right,132.0,99.0,151.25,108.0,129.75,86.75,7.648529270389178,75.37779845551341,-0.6212761680760351
COBYLA,0.75,0.25,right,132.0,99.0,151.25,108.0,129.75,86.75,7.648529270389178,75.37779845551341,-0.5375786703953821
COBYLA,0.7,0.3,right,93.75,120.0,149.75,108.0,129.75,86.75,7.648529270389178,65.32323476375002,-0.4826084975483387
COBYLA,0.65,0.35,right,93.75,120.0,149.75,108.0,129.75,86.75,7.648529270389178,65.32323476375002,-0.40369888733995396
COBYLA,0.6,0.4,right,93.75,120.0,149.75,108.0,129.75,86.75,7.648529270389178,65.32323476375002,-0.32478927713156924
COBYLA,0.55,0.45,right,93.75,120.0,149.75,108.0,129.75,86.75,7.648529270389178,65.32323476375002,-0.24587966692318447
